"property_200_1","property_200_2","property_200_3","property_200_4","property_200_5","property_200_6","property_200_7","property_200_8","property_200_9","property_200_10","property_200_11","property_200_12","property_200_13","property_200_14","property_200_15","property_200_16","property_200_17","property_200_18","property_200_19","property_200_20","property_200_21","property_200_22","property_200_23","property_200_24","property_200_25","property_200_26","property_200_27","property_200_28","property_200_29","property_200_30","property_200_31","property_200_32","property_200_33","property_200_34","property_200_35","property_200_36","property_200_37","property_200_38","property_200_39","property_200_40","property_200_41","property_200_42","property_200_43","property_200_44","property_200_45","property_200_46","property_200_47","property_200_48","property_200_49","property_200_50","property_200_51","property_200_52","property_200_53","property_200_54","property_200_55","property_200_56","property_200_57","property_200_58","property_200_59","property_200_60","property_200_61","property_200_62","property_200_63","property_200_64","property_200_65","property_200_66","property_200_67","property_200_68","property_200_69","property_200_70","property_200_71","property_200_72","property_200_73","property_200_74","property_200_75","property_200_76","property_200_77","property_200_78","property_200_79","property_200_80","property_200_81","property_200_82","property_200_83","property_200_84","property_200_85","property_200_86","property_200_87","property_200_88","property_200_89","property_200_90","property_200_91","property_200_92","property_200_93","property_200_94","property_200_95","property_200_96","property_200_97","property_200_98","property_200_99","property_200_100","property_200_101","property_200_102","property_200_103","property_200_104","property_200_105","property_200_106","property_200_107","property_200_108","property_200_109","property_200_110","property_200_111","property_200_112","property_200_113","property_200_114","property_200_115","property_200_116","property_200_117","property_200_118","property_200_119","property_200_120","property_200_121","property_200_122","property_200_123","property_200_124","property_200_125","property_200_126","property_200_127","property_200_128","property_200_129","property_200_130","property_200_131","property_200_132","property_200_133","property_200_134","property_200_135","property_200_136","property_200_137","property_200_138","property_200_139","property_200_140","property_200_141","property_200_142","property_200_143","property_200_144","property_200_145","property_200_146","property_200_147","property_200_148","property_200_149","property_200_150","property_200_151","property_200_152","property_200_153","property_200_154","property_200_155","property_200_156","property_200_157","property_200_158","property_200_159","property_200_160","property_200_161","property_200_162","property_200_163","property_200_164","property_200_165","property_200_166","property_200_167","property_200_168","property_200_169","property_200_170","property_200_171","property_200_172","property_200_173","property_200_174","property_200_175","property_200_176","property_200_177","property_200_178","property_200_179","property_200_180","property_200_181","property_200_182","property_200_183","property_200_184","property_200_185","property_200_186","property_200_187","property_200_188","property_200_189","property_200_190","property_200_191","property_200_192","property_200_193","property_200_194","property_200_195","property_200_196","property_200_197","property_200_198","property_200_199","property_200_200"
"ko00364","ko00410","ko00625","ko01057","ko01220","ko02040","ko04626","ko00311","ko00909","ko00405","ko00524","ko00623","ko00920","ko00624","ko03015","ko00340","ko00550","ko01040","ko00071","ko00364","ko00903","ko01040","ko00633","ko00311","ko00626","ko00053","ko02026","ko01054","ko01053","ko00625","ko02040","ko02040","ko01040","ko00930","ko00071","ko01057","ko00515","ko00592","ko00791","ko00071","ko00121","ko00600","ko00361","ko00400","ko02060","ko00524","ko02026","ko00362","ko02040","ko00380","ko01040","ko00906","ko01051","ko01502","ko00365","ko00785","ko00290","ko00195","ko00340","ko00053","ko04122","ko00572","ko00053","ko00625","ko01040","ko00860","ko00930","ko00053","ko00400","ko00380","ko00401","ko00623","ko02025","ko00332","ko00020","ko03050","ko00590","ko00626","ko03050","ko00564","ko03050","ko00906","ko04122","ko00440","ko00410","ko00380","ko02040","ko00524","ko05150","ko00790","ko00600","ko00405","ko00020","ko00906","ko00363","ko00633","ko01501","ko00565","ko01040","ko00460","ko00621","ko00310","ko00480","ko02040","ko04933","ko00380","ko02030","ko01055","ko02040","ko00590","ko00405","ko00627","ko00562","ko00332","ko00626","ko00404","ko00623","ko02030","ko00909","ko01040","ko00910","ko02025","ko00440","ko00511","ko00710","ko00020","ko01220","ko01052","ko00523","ko00100","ko00362","ko00405","ko03050","ko00364","ko00633","ko00290","ko00362","ko00363","ko00623","ko00909","ko01055","ko00909","ko00430","ko00791","ko00633","ko01054","ko00540","ko02026","ko00261","ko00460","ko02025","ko00525","ko00592","ko00121","ko01055","ko00903","ko00860","ko02026","ko00625","ko00564","ko00440","ko01040","ko00310","ko00350","ko00364","ko00053","ko00030","ko00642","ko00380","ko01040","ko00900","ko05150","ko01051","ko00623","ko00906","ko00740","ko00380","ko00643","ko05150","ko00643","ko00785","ko02030","ko00601","ko00627","ko01501","ko00511","ko00450","ko00623","ko05152","ko01503","ko00053","ko00195","ko00100","ko00511","ko00622","ko00450","ko00511","ko02040","ko00260","ko01501"
"ko00903","ko00565","ko00627","ko00601","ko00998","ko00361","ko01210","ko00626","ko01503","ko03450","ko00525","ko00380","ko00660","ko00999","ko03022","ko00100","ko04933","ko00332","ko00592","ko00623","ko00592","ko00930","ko00627","ko00626","ko00540","ko00601","ko00601","ko02060","ko00052","ko03050","ko02030","ko01040","ko00633","ko00130","ko00480","ko01052","ko00280","ko00410","ko01220","ko03050","ko00999","ko00998","ko00930","ko00910","ko00626","ko00051","ko00524","ko00310","ko02030","ko00400","ko00311","ko00053","ko00522","ko00363","ko00350","ko00633","ko00515","ko00196","ko00515","ko02040","ko00740","ko00983","ko00523","ko01220","ko00930","ko00909","ko02060","ko05150","ko02025","ko00622","ko01501","ko00633","ko00364","ko00100","ko01052","ko01052","ko00600","ko00903","ko01503","ko00363","ko05150","ko00571","ko00624","ko02030","ko00440","ko00362","ko00785","ko00600","ko00130","ko02020","ko00100","ko04122","ko00401","ko01503","ko00365","ko00930","ko00332","ko00998","ko02025","ko00020","ko00600","ko00998","ko00600","ko00622","ko05111","ko00903","ko05110","ko00525","ko02030","ko00600","ko00440","ko00633","ko00071","ko00310","ko00625","ko00760","ko00364","ko00627","ko00340","ko00364","ko03050","ko01040","ko00633","ko00410","ko00522","ko00540","ko00903","ko00062","ko00591","ko00401","ko00633","ko04122","ko00062","ko00361","ko02030","ko01053","ko00601","ko04112","ko00361","ko00100","ko00592","ko00565","ko00061","ko00860","ko02040","ko00380","ko00332","ko00053","ko00500","ko00515","ko01501","ko00660","ko01040","ko00622","ko00920","ko03050","ko00564","ko00511","ko00071","ko02060","ko01501","ko00930","ko00621","ko00310","ko00623","ko00625","ko00363","ko00624","ko00565","ko00130","ko00300","ko01055","ko00522","ko00364","ko00562","ko00130","ko00071","ko02030","ko00910","ko01040","ko00380","ko00364","ko00621","ko00565","ko00930","ko01051","ko01056","ko00903","ko05133","ko00332","ko00332","ko00196","ko00909","ko00920","ko00401","ko00404","ko00590","ko00380","ko00571","ko02040"
"ko02040","ko00362","ko02030","ko01059","ko00405","ko00633","ko00250","ko00340","ko00590","ko00860","ko00310","ko00633","ko01053","ko02025","ko00564","ko00525","ko00790","ko00930","ko00053","ko00401","ko00591","ko00410","ko00380","ko01051","ko00625","ko00311","ko00524","ko00785","ko01220","ko00130","ko00903","ko02030","ko00627","ko00361","ko00380","ko00522","ko00906","ko00562","ko00909","ko00625","ko03050","ko00361","ko01040","ko02025","ko00627","ko05111","ko01501","ko00401","ko00590","ko00625","ko00361","ko02040","ko00253","ko00523","ko00311","ko00565","ko00430","ko00720","ko00550","ko00562","ko00380","ko05152","ko00401","ko00860","ko03450","ko00785","ko00592","ko04122","ko00130","ko00361","ko00524","ko01053","ko00623","ko00591","ko00100","ko01056","ko00261","ko00999","ko00621","ko05110","ko05100","ko00572","ko00400","ko00332","ko02025","ko02040","ko00930","ko00540","ko00405","ko00061","ko00909","ko00626","ko00524","ko04122","ko01052","ko01040","ko00623","ko00623","ko01055","ko00500","ko00521","ko00020","ko00740","ko00860","ko00720","ko00362","ko00523","ko00310","ko00785","ko00515","ko05150","ko00380","ko00998","ko00592","ko00071","ko00062","ko00361","ko01053","ko00561","ko00130","ko00400","ko00930","ko00627","ko00524","ko00195","ko00410","ko00515","ko00522","ko00361","ko00524","ko00625","ko03450","ko05110","ko00785","ko00627","ko00220","ko00310","ko00720","ko00633","ko00350","ko00130","ko00511","ko05130","ko00550","ko00627","ko00785","ko00071","ko00332","ko00280","ko00906","ko00410","ko00523","ko00627","ko00540","ko01210","ko00740","ko04112","ko00121","ko00627","ko00525","ko00332","ko00660","ko01501","ko00053","ko01055","ko00592","ko00760","ko00860","ko01054","ko00624","ko00910","ko00624","ko04933","ko02030","ko03050","ko00903","ko00624","ko00903","ko00999","ko00626","ko00515","ko02060","ko02040","ko00071","ko00562","ko00500","ko00261","ko00565","ko00480","ko00930","ko00903","ko00260","ko00860","ko01054","ko00364","ko00750","ko00600","ko02030","ko00572","ko02026"
"ko00071","ko00633","ko00643","ko00720","ko05150","ko00785","ko00900","ko01053","ko00340","ko00984","ko00053","ko00627","ko00460","ko00361","ko01502","ko00909","ko00061","ko00624","ko00310","ko00601","ko01054","ko00405","ko01053","ko00404","ko00440","ko00591","ko01503","ko01501","ko00460","ko00984","ko00511","ko00590","ko00625","ko00903","ko00930","ko01056","ko00998","ko02030","ko00626","ko05150","ko04122","ko00643","ko00592","ko00290","ko00625","ko00740","ko00365","ko02026","ko01054","ko00627","ko00562","ko00380","ko01052","ko00030","ko00601","ko00053","ko00220","ko03015","ko00750","ko00362","ko00195","ko00590","ko00410","ko00361","ko00311","ko00261","ko00627","ko00571","ko02040","ko00332","ko00053","ko00053","ko00590","ko00311","ko00253","ko00121","ko00601","ko00930","ko00362","ko00720","ko00522","ko00983","ko00260","ko00053","ko00590","ko02030","ko01053","ko00621","ko00998","ko00261","ko00906","ko00625","ko01054","ko00410","ko00350","ko00903","ko00364","ko00364","ko03450","ko00220","ko00622","ko00350","ko00195","ko00909","ko03015","ko01054","ko00910","ko00564","ko00380","ko00785","ko00564","ko00410","ko02060","ko00562","ko00999","ko00051","ko00460","ko00540","ko00571","ko00623","ko00511","ko00592","ko00071","ko00401","ko00196","ko00332","ko00626","ko00910","ko00930","ko00511","ko00332","ko00643","ko05133","ko00130","ko00626","ko00500","ko00660","ko03015","ko00525","ko02030","ko00311","ko00910","ko00250","ko02020","ko01053","ko01055","ko00633","ko00361","ko01056","ko00130","ko00623","ko00350","ko00633","ko00565","ko01212","ko00750","ko00362","ko00740","ko00591","ko00524","ko00521","ko00633","ko00999","ko00903","ko00565","ko00626","ko05110","ko00071","ko00625","ko00361","ko01212","ko00791","ko01056","ko01503","ko01054","ko04112","ko00130","ko00121","ko00400","ko00592","ko01055","ko00565","ko01501","ko00380","ko01040","ko00363","ko01059","ko02026","ko05150","ko00121","ko00785","ko00232","ko02026","ko00121","ko00623","ko00430","ko01220","ko00627","ko00983","ko00540"
"ko00643","ko00643","ko00903","ko03015","ko05100","ko00565","ko00261","ko00920","ko00401","ko00460","ko04122","ko00643","ko04122","ko02030","ko00030","ko00660","ko00253","ko00562","ko01053","ko00361","ko00627","ko00540","ko00791","ko05150","ko01040","ko02040","ko00062","ko00591","ko00430","ko00626","ko00380","ko01053","ko02030","ko00591","ko03450","ko01051","ko00130","ko02040","ko00100","ko00365","ko00791","ko00623","ko00590","ko04621","ko01053","ko02020","ko00405","ko00860","ko00130","ko00592","ko00515","ko00903","ko00642","ko05110","ko01503","ko00362","ko00790","ko03022","ko00561","ko00643","ko00196","ko00280","ko00361","ko02030","ko00622","ko00750","ko00071","ko00572","ko00984","ko01501","ko00930","ko02060","ko00410","ko00310","ko00909","ko00720","ko00624","ko00130","ko00365","ko03015","ko00062","ko05152","ko00591","ko02026","ko00621","ko00633","ko02060","ko00401","ko00860","ko00300","ko00332","ko00860","ko00565","ko00310","ko00311","ko00540","ko00380","ko05150","ko00625","ko00052","ko00410","ko05150","ko00196","ko00053","ko03022","ko00410","ko00071","ko00020","ko00130","ko00290","ko05100","ko01053","ko01040","ko00999","ko01220","ko00365","ko00410","ko00622","ko00572","ko00562","ko04933","ko00332","ko00053","ko01055","ko00100","ko00627","ko00920","ko00720","ko00903","ko00860","ko00592","ko00622","ko00790","ko01501","ko02060","ko01055","ko00401","ko03022","ko00460","ko00600","ko00627","ko00340","ko00900","ko01220","ko00903","ko00627","ko00565","ko00999","ko00195","ko00480","ko00364","ko00053","ko00311","ko00511","ko00330","ko00562","ko05110","ko04933","ko01053","ko00290","ko00340","ko00592","ko00280","ko01055","ko00622","ko00633","ko00051","ko00984","ko00626","ko00623","ko02020","ko00280","ko00130","ko00633","ko01053","ko00562","ko00633","ko00622","ko00710","ko00071","ko00791","ko01053","ko02030","ko00643","ko00623","ko00601","ko00290","ko00524","ko05100","ko00998","ko00405","ko00524","ko01040","ko00430","ko01503","ko05111","ko00601","ko00591","ko05152","ko00562"
"ko02030","ko00785","ko03450","ko03022","ko01054","ko00362","ko02020","ko00565","ko00621","ko05100","ko00523","ko00130","ko02030","ko00440","ko00121","ko00521","ko01052","ko00903","ko01503","ko00521","ko03450","ko00380","ko00562","ko00260","ko00525","ko03450","ko00522","ko00624","ko00626","ko00740","ko01501","ko00791","ko01054","ko00920","ko01053","ko00524","ko00405","ko00565","ko01503","ko05100","ko04112","ko00364","ko00311","ko00590","ko02025","ko00450","ko00984","ko00440","ko00591","ko00622","ko00623","ko03450","ko00404","ko00571","ko00340","ko00623","ko01210","ko00909","ko00260","ko00592","ko00710","ko05130","ko00633","ko02040","ko00591","ko00280","ko00633","ko00983","ko00380","ko00440","ko01503","ko00440","ko00310","ko00511","ko01057","ko03015","ko00280","ko00627","ko01059","ko03022","ko02025","ko00363","ko00261","ko00562","ko00565","ko00053","ko00540","ko01501","ko00400","ko00780","ko00362","ko00361","ko00540","ko00740","ko00601","ko00591","ko02040","ko05100","ko00903","ko00040","ko00920","ko05100","ko00564","ko00100","ko04112","ko00071","ko02040","ko02025","ko00562","ko00999","ko00720","ko02060","ko00627","ko01040","ko01055","ko05132","ko02060","ko00380","ko00983","ko00361","ko00195","ko00440","ko00622","ko00750","ko04122","ko00310","ko00930","ko03015","ko00565","ko01503","ko00626","ko00511","ko01052","ko00633","ko00071","ko00750","ko00340","ko00511","ko00480","ko00401","ko00930","ko00020","ko00363","ko04621","ko00525","ko00460","ko00364","ko00592","ko00196","ko00521","ko00361","ko01503","ko00626","ko00590","ko00061","ko00590","ko00052","ko01059","ko01220","ko00561","ko00310","ko00562","ko01054","ko05150","ko00627","ko00071","ko01502","ko00906","ko00621","ko00364","ko00260","ko00071","ko00062","ko01501","ko00791","ko00625","ko03450","ko00362","ko00860","ko00565","ko01503","ko00460","ko00622","ko01053","ko00364","ko00550","ko03050","ko00930","ko05130","ko00999","ko03450","ko00720","ko00401","ko04626","ko00525","ko04626","ko00523","ko00565","ko00253","ko00100"
"ko02026","ko00053","ko02060","ko04933","ko00380","ko01503","ko00310","ko03450","ko00290","ko05150","ko00622","ko03450","ko00071","ko01055","ko02020","ko00020","ko00261","ko00710","ko00633","ko00130","ko00515","ko03450","ko00785","ko05100","ko00930","ko00600","ko01052","ko00906","ko04626","ko00627","ko00623","ko00310","ko00592","ko00525","ko00362","ko00253","ko00562","ko00071","ko00521","ko00710","ko00511","ko01040","ko00791","ko00220","ko03450","ko00790","ko01059","ko05133","ko01053","ko01220","ko00364","ko02025","ko04112","ko00572","ko00642","ko00310","ko00910","ko00564","ko00062","ko02030","ko01057","ko00550","ko01040","ko02025","ko00361","ko00220","ko00903","ko05152","ko00785","ko00540","ko01040","ko00380","ko01040","ko02030","ko01056","ko03022","ko00920","ko02026","ko00710","ko04621","ko01052","ko00062","ko00910","ko00643","ko00332","ko00627","ko00906","ko00601","ko01053","ko00750","ko00310","ko00642","ko00562","ko00380","ko00909","ko02026","ko00440","ko00633","ko00626","ko00591","ko01503","ko00440","ko02026","ko01059","ko03050","ko00625","ko05130","ko00621","ko00627","ko00400","ko03015","ko00562","ko00405","ko00903","ko04621","ko00480","ko00380","ko00053","ko05152","ko01501","ko00196","ko02026","ko00410","ko00340","ko01057","ko00591","ko00071","ko03022","ko00440","ko02026","ko00591","ko00999","ko01059","ko00460","ko00625","ko00920","ko00380","ko00232","ko00740","ko00310","ko00785","ko00521","ko00030","ko00030","ko00643","ko00480","ko00623","ko01501","ko01051","ko00071","ko00984","ko00633","ko00515","ko00660","ko00250","ko00930","ko00062","ko01057","ko00643","ko00052","ko00600","ko00362","ko00984","ko05100","ko00633","ko00332","ko00250","ko00365","ko02060","ko03450","ko00790","ko00220","ko00280","ko00621","ko00710","ko00591","ko00311","ko00592","ko01052","ko00625","ko04122","ko02040","ko00562","ko00562","ko01503","ko00460","ko00500","ko00440","ko00195","ko00362","ko00440","ko03015","ko00562","ko00100","ko00621","ko00640","ko01054","ko00622","ko00363","ko02030"
"ko01054","ko00380","ko01220","ko04112","ko00984","ko00562","ko00430","ko00362","ko00562","ko00480","ko00401","ko02025","ko00785","ko00020","ko00300","ko00523","ko00750","ko00622","ko00332","ko00290","ko00930","ko02026","ko00540","ko00020","ko00523","ko00999","ko00430","ko00623","ko00450","ko00232","ko00364","ko00362","ko01220","ko00785","ko00906","ko00624","ko03050","ko00130","ko00642","ko04621","ko00571","ko00410","ko00626","ko00750","ko00622","ko00511","ko00660","ko00660","ko00627","ko00903","ko00565","ko00405","ko00910","ko00983","ko00621","ko00364","ko00550","ko05111","ko01210","ko00332","ko00310","ko00624","ko00930","ko01054","ko00999","ko00290","ko00053","ko00121","ko00562","ko00740","ko00601","ko00625","ko00053","ko00624","ko00362","ko04112","ko00750","ko00540","ko00410","ko00030","ko00622","ko01502","ko00520","ko00380","ko00401","ko00410","ko00626","ko00310","ko00195","ko01212","ko00710","ko00565","ko02026","ko00710","ko05110","ko00053","ko00361","ko00361","ko00071","ko00621","ko01501","ko00362","ko00561","ko00621","ko00450","ko00480","ko01210","ko00633","ko00622","ko00261","ko03022","ko01501","ko04122","ko00930","ko00365","ko01055","ko00480","ko00626","ko00522","ko00590","ko00720","ko01220","ko02030","ko02030","ko00910","ko00524","ko01053","ko01051","ko01220","ko00621","ko00565","ko05100","ko00564","ko00540","ko00130","ko01502","ko00600","ko04933","ko02040","ko02040","ko00998","ko00920","ko00300","ko01502","ko00565","ko00903","ko00130","ko00524","ko00290","ko02040","ko00515","ko00100","ko00625","ko01055","ko00900","ko00261","ko00020","ko00232","ko00540","ko00261","ko00523","ko00511","ko00564","ko00480","ko00591","ko01054","ko00900","ko00710","ko00562","ko00903","ko00052","ko03050","ko00550","ko00361","ko00660","ko00601","ko00565","ko00540","ko00601","ko03450","ko00660","ko00633","ko00020","ko00053","ko00361","ko00910","ko00984","ko00361","ko00196","ko00592","ko00362","ko03022","ko00903","ko00909","ko00524","ko00253","ko00591","ko00562","ko01051","ko00401"
"ko00622","ko00310","ko00622","ko00253","ko00903","ko01053","ko00790","ko00521","ko00261","ko00710","ko00590","ko00785","ko00340","ko00071","ko00051","ko00350","ko00522","ko00361","ko00380","ko01054","ko00361","ko00627","ko00071","ko00330","ko00364","ko02030","ko03050","ko00364","ko00220","ko00380","ko00660","ko00903","ko00071","ko00460","ko00515","ko01501","ko01503","ko00540","ko00998","ko00999","ko00572","ko00625","ko00903","ko00540","ko00380","ko00720","ko00999","ko00430","ko00523","ko00311","ko00624","ko00633","ko00062","ko05152","ko00710","ko00361","ko02020","ko00710","ko00525","ko02025","ko01052","ko00232","ko00511","ko00364","ko00071","ko03050","ko00565","ko00710","ko00633","ko00591","ko02040","ko00626","ko02040","ko00350","ko00062","ko01059","ko00524","ko00621","ko00624","ko05150","ko05110","ko05110","ko04626","ko00622","ko00364","ko00591","ko04122","ko00350","ko00196","ko00250","ko00350","ko00590","ko00380","ko00365","ko01056","ko00401","ko00592","ko01053","ko00624","ko05132","ko00362","ko00710","ko01053","ko01220","ko00601","ko02060","ko00500","ko00130","ko00540","ko00525","ko00998","ko03450","ko00785","ko00622","ko00791","ko00571","ko00562","ko00071","ko01502","ko00601","ko03015","ko00622","ko02040","ko02040","ko00365","ko00511","ko00311","ko01059","ko00562","ko00350","ko00643","ko05150","ko02020","ko00480","ko00622","ko00280","ko03050","ko00710","ko00523","ko00601","ko01040","ko00400","ko00480","ko05110","ko00523","ko00624","ko00660","ko00410","ko00363","ko00903","ko00130","ko00909","ko01053","ko00130","ko00253","ko00311","ko00760","ko00710","ko02040","ko00640","ko00053","ko00903","ko00500","ko00071","ko01220","ko00440","ko02020","ko05133","ko02030","ko00592","ko00780","ko00405","ko00363","ko02026","ko00130","ko00361","ko00785","ko00410","ko00522","ko00920","ko00410","ko00130","ko00623","ko00626","ko00020","ko05133","ko00253","ko01040","ko03050","ko00627","ko00121","ko00500","ko00362","ko00500","ko00633","ko04933","ko00525","ko00440","ko00330","ko00350"
"ko00626","ko01503","ko00362","ko00195","ko00999","ko00310","ko00061","ko00625","ko00220","ko00253","ko00350","ko02030","ko00310","ko00627","ko00250","ko00920","ko00300","ko00627","ko00660","ko00590","ko01040","ko00071","ko00626","ko00591","ko00623","ko01503","ko00906","ko00540","ko01210","ko01055","ko00591","ko02025","ko00525","ko00860","ko00623","ko00404","ko00410","ko00310","ko00600","ko00643","ko00983","ko05100","ko01055","ko00621","ko00624","ko03015","ko00121","ko00500","ko00525","ko00401","ko00633","ko00930","ko01059","ko02060","ko00363","ko00562","ko00100","ko00405","ko00100","ko00380","ko00522","ko00404","ko00622","ko00623","ko00053","ko00130","ko01220","ko05111","ko02030","ko00785","ko00340","ko01054","ko00592","ko00380","ko00365","ko05133","ko00450","ko01053","ko00053","ko05133","ko00621","ko00061","ko00984","ko00627","ko00623","ko00626","ko00625","ko00623","ko05111","ko00900","ko00053","ko01053","ko00740","ko00195","ko00100","ko01220","ko00643","ko00627","ko00100","ko01051","ko00350","ko00363","ko00571","ko00710","ko00998","ko01501","ko00290","ko00121","ko00053","ko00750","ko01059","ko01054","ko00380","ko02040","ko00571","ko00572","ko00785","ko00562","ko00790","ko02025","ko03022","ko00591","ko00660","ko00591","ko01059","ko01501","ko01040","ko00400","ko00622","ko00400","ko00440","ko02030","ko01057","ko00053","ko00380","ko00430","ko00053","ko00500","ko01220","ko00643","ko00405","ko00052","ko00051","ko00790","ko01220","ko00920","ko00361","ko00440","ko00062","ko00643","ko00562","ko00601","ko02030","ko00430","ko00450","ko01053","ko00250","ko00906","ko02030","ko05133","ko00525","ko00121","ko00100","ko00998","ko00903","ko01220","ko00061","ko01059","ko02040","ko00622","ko00601","ko00750","ko01059","ko00643","ko00622","ko00650","ko01501","ko02026","ko01057","ko02040","ko00261","ko01054","ko00401","ko02060","ko02026","ko00030","ko00550","ko01055","ko00365","ko00984","ko00621","ko01057","ko00930","ko00550","ko00660","ko00561","ko00100","ko00540","ko00642","ko00380"
