dim	pathway_id	pathway_names
property_200_149	00515	Mannose type O-glycan biosynthesis
property_200_150	01053	Biosynthesis of siderophore group nonribosomal peptides
property_200_151	00643	Styrene degradation
property_200_152	00121	Secondary bile acid biosynthesis
property_200_153	00643	Styrene degradation
property_200_154	00600	Sphingolipid metabolism
property_200_155	00480	Glutathione metabolism
property_200_156	00515	Mannose type O-glycan biosynthesis
property_200_157	00600	Sphingolipid metabolism
property_200_158	00515	Mannose type O-glycan biosynthesis
property_200_159	00565	Ether lipid metabolism
property_200_160	00600	Sphingolipid metabolism
property_200_161	00410	beta-Alanine metabolism
property_200_162	02040	Flagellar assembly
property_200_163	00785	Lipoic acid metabolism
property_200_164	00591	Linoleic acid metabolism
property_200_165	01054	Nonribosomal peptide structures
property_200_166	02040	Flagellar assembly
property_200_167	00121	Secondary bile acid biosynthesis
property_200_168	03450	Non-homologous end-joining
property_200_169	01040	Biosynthesis of unsaturated fatty acids
property_200_170	00591	Linoleic acid metabolism
property_200_171	00600	Sphingolipid metabolism
property_200_172	00515	Mannose type O-glycan biosynthesis
property_200_173	00515	Mannose type O-glycan biosynthesis
property_200_174	00121	Secondary bile acid biosynthesis
property_200_175	02025	Biofilm formation - Pseudomonas aeruginosa
property_200_176	01054	Nonribosomal peptide structures
property_200_177	00643	Styrene degradation
property_200_178	00440	Phosphonate and phosphinate metabolism
property_200_179	00515	Mannose type O-glycan biosynthesis
property_200_180	00903	Limonene degradation
property_200_181	00524	Neomycin, kanamycin and gentamicin biosynthesis
property_200_182	00903	Limonene degradation
property_200_183	00121	Secondary bile acid biosynthesis
property_200_184	00903	Limonene degradation
property_200_185	00440	Phosphonate and phosphinate metabolism
property_200_186	00600	Sphingolipid metabolism
property_200_187	00515	Mannose type O-glycan biosynthesis
property_200_188	00540	Lipopolysaccharide biosynthesis
property_200_189	00121	Secondary bile acid biosynthesis
property_200_190	01501	beta-Lactam resistance
property_200_191	00410	beta-Alanine metabolism
property_200_192	00515	Mannose type O-glycan biosynthesis
property_200_193	00410	beta-Alanine metabolism
property_200_194	00540	Lipopolysaccharide biosynthesis
property_200_195	00440	Phosphonate and phosphinate metabolism
property_200_196	00515	Mannose type O-glycan biosynthesis
property_200_197	00621	Dioxin degradation
property_200_198	00903	Limonene degradation
property_200_199	00515	Mannose type O-glycan biosynthesis
property_200_200	00121	Secondary bile acid biosynthesis
